project,year,code_klloc_sum,effective_klloc_sum,code_klloc_median,effective_klloc_median,code_klloc_mean,effective_klloc_mean,issues_created,issues_fixed
commons-validator,2013,122.75599999999996,118.994,5.579,5.408,5.57981818181818,5.408818181818182,10,0
commons-validator,2014,603.9260000000002,586.4839999999998,5.978,5.807,5.920843137254903,5.7498431372549,15,6
commons-validator,2015,1199.3249999999998,1167.3690000000001,6.205,6.035,6.37938829787234,6.2094095744680855,28,32
commons-validator,2016,363.97300000000007,355.354,7.173,7.004,7.1367254901960795,6.967725490196078,16,7
commons-validator,2017,467.5690000000001,457.0909999999999,7.564,7.395,7.541435483870969,7.372435483870966,14,7
commons-vfs,2007,1356.4180000000001,1356.4180000000001,22.975,22.975,22.99013559322034,22.99013559322034,43,17
commons-vfs,2008,535.579,535.579,23.21,23.21,23.28604347826087,23.28604347826087,32,3
commons-vfs,2009,1716.6440000000002,1716.6440000000002,23.76,23.76,23.84227777777778,23.84227777777778,40,19
commons-vfs,2010,5028.333,5028.333,25.351,25.351,25.141665,25.141665,44,11
commons-vfs,2011,3929.279,3743.129,25.402,24.029,24.405459627329193,23.24924844720497,28,9
commons-vfs,2012,7620.659,7093.232,22.5625,21.002,22.546328402366864,20.98589349112426,29,26
commons-vfs,2013,3437.021,3211.401,23.723,22.167,23.703593103448277,22.147593103448276,35,12
commons-vfs,2014,1757.0040000000001,1641.8600000000001,23.727,22.171,23.7432972972973,22.1872972972973,28,14
commons-vfs,2015,2182.2239999999997,2039.646,23.955,22.382,23.980483516483513,22.41369230769231,26,16
commons-vfs,2016,1212.616,1134.116,24.253,22.683,24.25232,22.68232,23,3
commons-vfs,2017,3204.561,2906.349,24.171,22.601,22.253895833333335,20.46724647887324,10,5
eagle,2016,36993.462,36998.683000000005,71.816,71.968,65.35947349823321,65.36869787985867,270,149
eagle,2017,13063.755999999998,13130.889999999998,81.951,82.359,82.16198742138363,82.58421383647797,93,35
falcon,2014,11422.759999999998,9021.756000000001,29.961,22.032,27.132446555819474,21.429349168646084,362,229
falcon,2015,17955.234,12702.987000000001,38.886,27.261,41.46705311778291,29.337152424942264,361,224
falcon,2016,20342.171000000002,14769.323999999999,62.626,44.914,62.39929754601228,45.304674846625765,264,184
falcon,2017,3292.373000000001,2485.3830000000003,70.11,52.94,70.05048936170215,52.88048936170213,57,34
flume,2012,8909.477,8908.917000000001,18.913,18.913,21.730431707317074,21.72906585365854,459,211
flume,2013,7539.696,7539.696,37.242,37.242,37.325227722772276,37.325227722772276,245,122
flume,2014,5622.956,5577.665,41.717,41.363,41.651525925925924,41.316037037037034,185,78
flume,2015,3388.099,3332.9,45.154,43.514,45.17465333333334,44.43866666666667,154,45
flume,2016,4413.9490000000005,4417.579000000001,46.862,46.862,46.95690425531915,46.99552127659575,84,35
flume,2017,2752.955,2759.852,48.055,48.176,48.297456140350874,48.41845614035088,104,24
giraph,2013,9436.348,9436.348,34.898,34.898,36.293646153846154,36.293646153846154,196,117
giraph,2014,6390.309,6359.909000000001,52.478,52.478,52.81247107438017,52.56123140495868,78,51
giraph,2015,4269.597,3862.981,67.262,61.182,68.86446774193548,62.306145161290324,15,12
giraph,2016,6537.543,5832.574,80.165,71.098,78.765578313253,70.27197590361445,35,21
giraph,2017,2972.924,2579.797,82.6105,71.67750000000001,82.58122222222222,71.66102777777778,20,9
gora,2011,540.9259999999999,374.23600000000005,9.308,8.441,9.326310344827585,8.135565217391305,15,10
gora,2012,1548.79,1449.013,10.187,9.512,10.608150684931507,9.924746575342466,39,23
gora,2013,694.078,626.296,14.162500000000001,13.234,14.459958333333333,13.047833333333335,30,13
gora,2014,1407.995,1117.1739999999998,18.6245,14.5525,18.051217948717948,14.322743589743586,50,13
gora,2015,610.204,486.952,20.362,16.241,20.34013333333333,16.231733333333334,17,3
gora,2016,1164.065,987.609,22.691499999999998,19.5835,22.385865384615386,18.99248076923077,23,8
gora,2017,132.761,111.92499999999998,27.917,23.195,26.5522,22.384999999999998,9,1
helix,2012,17092.522,17039.829,39.172,38.5935,35.60942083333334,35.499643750000004,12,7
helix,2013,5321.405999999999,5315.813999999999,43.797,43.797,41.900834645669285,41.85680314960629,108,27
helix,2014,3642.434,3642.434,37.723,37.723,37.94202083333334,37.94202083333334,99,37
helix,2015,1335.609,1335.609,39.355,39.355,39.28261764705882,39.28261764705882,38,13
helix,2016,3330.3030000000003,3330.3030000000003,41.905,41.905,42.155734177215194,42.155734177215194,20,15
helix,2017,6287.048999999999,6287.048999999999,46.189,46.189,46.22830147058823,46.22830147058823,6,3
httpcomponents-client,2006,72.94699999999999,0.0,1.302,,1.257706896551724,,44,1
httpcomponents-client,2007,2974.419,1953.832,8.7225,8.052,7.910688829787234,8.278949152542374,59,12
httpcomponents-client,2008,3466.527,3106.7059999999997,11.944,10.839,12.120723776223777,10.86260839160839,44,25
httpcomponents-client,2009,3239.971,2885.2960000000003,14.402999999999999,12.707,14.46415625,12.880785714285716,50,23
httpcomponents-client,2010,6603.115000000001,5841.4490000000005,19.705,17.478,19.710791044776123,17.43716119402985,73,40
httpcomponents-client,2011,5985.521999999999,5341.9130000000005,22.8705,20.2865,23.752071428571426,21.19806746031746,72,25
httpcomponents-client,2012,7152.66,6634.159000000001,26.924500000000002,24.2875,28.38357142857143,26.32602777777778,89,48
httpcomponents-client,2013,9968.244999999999,9541.194,34.299,32.84,34.02131399317406,32.56380204778157,102,72
httpcomponents-client,2014,11541.898,11138.546000000002,36.899,35.614,36.875073482428114,35.586408945686905,98,39
httpcomponents-client,2015,4290.018,4124.984,25.825499999999998,24.6575,31.54425,30.330764705882356,89,32
httpcomponents-client,2016,2527.6,2413.5310000000004,25.438,24.285,25.53131313131313,24.379101010101014,62,15
httpcomponents-client,2017,5604.924000000001,5265.316,32.468,30.397,32.02813714285715,30.087519999999998,43,13
httpcomponents-core,2008,3863.469,3096.858,19.789,16.0015,19.512469696969696,15.64069696969697,28,22
httpcomponents-core,2009,4164.255,3292.8240000000005,20.724,16.275,20.71768656716418,16.382208955223884,15,12
httpcomponents-core,2010,3989.834999999999,2984.1169999999997,23.171,17.251,23.062630057803464,17.249231213872832,19,15
httpcomponents-core,2011,5757.065,4547.144,25.554,20.259,25.816434977578474,20.390780269058297,23,17
httpcomponents-core,2012,5669.130000000001,5036.348000000002,28.74,25.452,28.777309644670055,25.565218274111682,23,20
httpcomponents-core,2013,5600.8060000000005,5287.136000000001,29.618,27.974,29.63389417989418,27.974264550264557,24,16
httpcomponents-core,2014,5171.305,4886.29,32.307,30.625,30.599437869822488,28.912958579881657,7,5
httpcomponents-core,2015,3079.262999999999,2863.250999999999,24.563,22.848,24.634103999999994,22.90600799999999,13,6
httpcomponents-core,2016,4805.234,4560.17,33.253,32.0195,31.202818181818184,29.611493506493506,17,10
httpcomponents-core,2017,9290.193,8820.708999999999,36.837,34.985,37.31001204819277,35.42453413654618,28,8
jena,2013,253894.10400000002,238148.1,241.116,236.595,248.18582991202348,232.79384164222876,158,92
jena,2014,150328.653,147743.864,267.538,263.259,268.9242450805009,264.3002933810376,114,50
