project,year,code_klloc,effective_klloc,issues_created,issues_fixed
lens,2017,60.16791025641025,60.12291025641025,75,53
mahout,2009,34.42311308562197,34.42235702746365,30,22
mahout,2010,71.0187962962963,70.60677893518518,124,93
mahout,2011,76.78367608286251,76.81194350282487,139,103
mahout,2012,83.59000420168069,83.73266386554623,101,49
mahout,2013,84.40592118226601,84.56606896551725,128,111
mahout,2014,83.08502739726028,83.24934703196345,113,41
mahout,2015,82.8659113924051,83.03639240506331,39,12
mahout,2016,80.79366666666665,80.96266666666665,34,1
mahout,2017,81.02627835051544,80.97547422680411,60,17
manifoldcf,2011,127.12089449541286,89.38578289473683,107,89
manifoldcf,2012,132.35535082872926,97.86569613259668,128,76
manifoldcf,2013,164.50306060606061,127.27833333333335,142,2
manifoldcf,2014,176.9594832041344,147.2855529715762,137,78
manifoldcf,2015,183.4306875,156.54559821428575,81,38
manifoldcf,2017,192.62671359223302,165.43976699029128,68,40
mina-sshd,2009,6.918457142857143,6.918457142857143,30,23
mina-sshd,2010,10.202428571428575,10.202428571428575,20,15
mina-sshd,2011,11.58883333333333,11.58883333333333,28,11
mina-sshd,2012,12.492000000000003,12.492000000000003,22,25
mina-sshd,2013,16.382656565656568,16.333161616161615,43,30
mina-sshd,2014,21.83097590361446,20.676765060240964,58,42
mina-sshd,2015,35.686160883280756,35.55965299684542,67,47
mina-sshd,2016,53.52549402390438,53.52549402390438,41,24
mina-sshd,2017,60.89432478632479,60.89432478632479,27,21
nifi,2015,138.53135766423358,151.37846666666667,512,30
nifi,2016,206.20938834080718,206.02317488789237,919,515
nifi,2017,266.47006133625416,266.2227196056955,641,411
opennlp,2011,29.481127147766323,,90,62
opennlp,2012,33.694260377358496,,49,27
opennlp,2013,34.04939506172839,,21,10
opennlp,2014,47.88012033195021,49.61495454545456,38,29
opennlp,2015,49.97550561797753,49.97550561797753,29,16
opennlp,2016,52.20864393939394,52.20316666666666,12,11
opennlp,2017,51.04545047923323,51.04545047923323,79,58
parquet-mr,2013,20.94074842767296,20.94074842767296,0,1
parquet-mr,2014,30.78324050632911,30.78324050632911,73,34
parquet-mr,2015,36.07328571428571,36.07115527950311,151,78
parquet-mr,2016,41.507112500000005,41.2684625,153,46
parquet-mr,2017,44.94977272727273,44.69177272727273,182,9
pdfbox,2009,40.68475100401606,40.68475100401606,130,82
pdfbox,2010,56.62193351800554,56.57988055555556,234,110
pdfbox,2011,76.09932173913045,74.27607391304349,197,94
pdfbox,2012,91.55397570850204,87.60770040485829,215,97
pdfbox,2013,96.76992165898616,96.76992165898616,255,105
pdfbox,2014,101.46636290860575,101.46636290860575,574,371
pdfbox,2015,106.12152107457156,106.12152107457156,397,269
pdfbox,2016,117.42912564102564,117.42912564102564,339,180
pdfbox,2017,121.20948051948051,121.20948051948051,307,173
phoenix,2015,171.88172513562387,116.0475732368897,571,268
phoenix,2016,211.1281107266436,139.3938287197232,669,325
phoenix,2017,248.58114730290453,162.2197510373444,594,229
ranger,2015,94.33385655737706,92.27507581967214,424,172
ranger,2016,127.87294699646644,127.76772614840989,356,283
ranger,2017,127.31767336683419,127.44267336683419,458,351
roller,2006,52.42644932844933,,214,57
roller,2007,60.69727695560253,,231,79
roller,2008,54.26533333333333,,93,18
roller,2009,56.64375,,48,0
roller,2013,54.91945624999998,53.492487499999996,16,9
roller,2014,48.86702510460251,48.498025104602505,26,18
roller,2015,47.82785,47.45885,27,9
santuario-java,2011,29.643006211180122,23.845559006211182,22,11
santuario-java,2012,37.00077900552486,33.216690607734805,27,17
santuario-java,2013,42.48555339805826,38.70155339805825,18,10
